time C,x[ST2826] F[ST2826] D[ST2826] I[2410] V[2410] 
1620723100540 1.11371e-10 5000 0.657604 -1.27065e-06 -0.00911184 
1620723101862 1.10185e-10 5000 0.618597 -1.17618e-06 0.0839884 
1620723103254 1.08973e-10 5000 0.575876 -1.06446e-06 0.194502 
1620723104628 1.07088e-10 5000 0.516306 -9.02746e-07 0.344152 
1620723105925 1.05708e-10 5000 0.482658 -8.12941e-07 0.428273 
1620723107318 1.04276e-10 5000 0.43662 -7.02674e-07 0.54042 
1620723108711 1.03183e-10 5000 0.398336 -6.1446e-07 0.637193 
1620723110014 1.01076e-10 5000 0.336833 -4.69465e-07 0.783943 
1620723111365 9.95561e-11 5000 0.289587 -3.62638e-07 0.897175 
1620723112759 9.81489e-11 5000 0.249957 -2.76398e-07 0.989277 
1620723114053 9.58442e-11 5000 0.187093 -1.43641e-07 1.13884 
1620723115365 9.37328e-11 5000 0.143195 -5.6726e-08 1.25058 
1620723116760 9.09542e-11 5000 0.122626 -9.08216e-09 1.34458 
1620723118053 8.61045e-11 5000 0.12175 2.13324e-09 1.49251 
1620723119364 8.24589e-11 5000 0.134694 2.63048e-09 1.60334 
1620723120767 7.719e-11 5000 0.153632 3.16751e-09 1.74845 
1620723122061 7.39703e-11 5000 0.164735 2.50263e-09 1.84301 
1620723123364 6.87621e-11 5000 0.182021 2.544e-09 1.99257 
1620723124759 6.33116e-11 5000 0.207854 2.42722e-09 2.13868 
1620723126053 5.92703e-11 5000 0.225784 2.48032e-09 2.24938 
1620723127364 5.39227e-11 5000 0.249991 2.94218e-09 2.39821 
1620723128760 4.84653e-11 5000 0.287348 2.70993e-09 2.5479 
1620723130046 4.51075e-11 5000 0.300398 2.60433e-09 2.64032 
1620723131365 3.92299e-11 5000 0.344886 3.52176e-09 2.80516 
1620723132760 3.38073e-11 5000 0.38345 3.69552e-09 2.95323 
1620723134056 2.81724e-11 5000 0.40116 3.48967e-09 3.10279 
1620723135364 2.50401e-11 5000 0.433202 2.97039e-09 3.19448 
