time C,x[ST2826] F[ST2826] D[ST2826] I[2410] V[2410] 
1620723309006 1.08798e-10 5000 0.562784 -1.26815e-06 -0.00666305 
1620723310441 1.05313e-10 5000 0.459296 -7.60973e-07 0.486274 
1620723311835 9.80032e-11 5000 0.249293 -2.76533e-07 0.989823 
1620723313228 8.62107e-11 5000 0.121033 2.83233e-09 1.49423 
1620723314523 6.86275e-11 5000 0.187715 5.31843e-09 1.99365 
1620723315863 5.04665e-11 5000 0.275866 5.39228e-09 2.49231 
1620723317265 3.25142e-11 5000 0.392005 4.95537e-09 2.99245 
1620723318559 1.62884e-11 5000 0.401209 6.64566e-09 3.49002 
1620723319864 1.15764e-11 5000 0.300886 7.24601e-09 3.99043 
1620723321267 1.1202e-11 5000 0.259078 6.9399e-09 4.49099 
1620723322559 1.07906e-11 5000 0.270757 7.91253e-09 5.00906 
1620723323873 1.02064e-11 5000 0.296807 7.7535e-09 5.50947 
1620723325265 1.00128e-11 5000 0.2977 7.15974e-09 6.00725 
1620723326557 9.78686e-12 5000 0.308578 8.86122e-09 6.50549 
1620723327863 9.55398e-12 5000 0.337665 9.18859e-09 7.0061 
1620723329256 9.26316e-12 5000 0.324818 8.24649e-09 7.50598 
1620723330550 9.09019e-12 5000 0.329781 9.41399e-09 8.00626 
1620723331866 8.75831e-12 5000 0.364756 9.5709e-09 8.50551 
1620723333268 8.85495e-12 5000 0.326362 9.03569e-09 9.0051 
1620723334562 8.86279e-12 5000 0.341778 1.03626e-08 9.50297 
1620723335863 8.40777e-12 5000 0.362259 1.03909e-08 10.0052 
1620723337255 8.2198e-12 5000 0.371854 1.00538e-08 10.5039 
1620723338549 8.3096e-12 5000 0.343646 1.15082e-08 11.0023 
1620723339871 8.08538e-12 5000 0.391023 1.20748e-08 11.5024 
1620723341266 7.8259e-12 5000 0.383257 1.1604e-08 12.0025 
1620723342561 8.14494e-12 5000 0.35986 1.2908e-08 12.5015 
1620723343865 7.69916e-12 5000 0.412155 1.25821e-08 13.0011 
1620723345257 7.62324e-12 5000 0.377991 1.26525e-08 13.5002 
1620723346550 7.79478e-12 5000 0.371432 1.36649e-08 14.001 
1620723347865 7.57493e-12 5000 0.400053 1.32125e-08 14.5018 
1620723349258 7.56852e-12 5000 0.383697 1.30429e-08 15.0008 
1620723350552 7.49912e-12 5000 0.41134 1.42647e-08 15.5192 
1620723351863 7.51272e-12 5000 0.418694 1.45851e-08 16.0161 
1620723353257 7.3184e-12 5000 0.41339 1.4175e-08 16.516 
1620723354552 7.28297e-12 5000 0.418373 1.52241e-08 17.0156 
1620723355863 7.32834e-12 5000 0.435661 1.53185e-08 17.5142 
1620723357257 6.96893e-12 5000 0.43255 1.52822e-08 18.0143 
1620723358550 7.11753e-12 5000 0.401982 1.66654e-08 18.5129 
1620723359865 7.04395e-12 5000 0.429243 1.67099e-08 19.0132 
1620723361259 7.03962e-12 5000 0.427142 1.67375e-08 19.5125 
1620723362552 7.0255e-12 5000 0.432131 1.77665e-08 20.0123 
1620723363866 6.91181e-12 5000 0.462226 1.7778e-08 20.51 
1620723365260 6.94884e-12 5000 0.409471 1.71537e-08 21.0107 
1620723366562 6.84553e-12 5000 0.460805 1.8212e-08 21.5121 
1620723367865 6.80627e-12 5000 0.469379 1.82593e-08 22.0107 
1620723369259 6.62865e-12 5000 0.418976 1.82967e-08 22.5102 
1620723370553 6.86242e-12 5000 0.455243 1.92696e-08 23.0105 
1620723371864 6.66874e-12 5000 0.439055 1.97946e-08 23.5114 
1620723373249 6.5718e-12 5000 0.452187 1.96024e-08 24.0087 
1620723374542 6.76527e-12 5000 0.444818 2.13676e-08 24.5093 
