#voltage[V] current[uA] LCR_freq[Hz] CP D CPerror Derror 
9.5 0.0130 1000 2.33018E-11 7.06390E-2 2.62879E-14 1.38032E-3
9.5 0.0140 3162 2.32049E-11 6.99406E-3 1.61592E-13 6.50710E-3
9.5 0.0140 10000 2.30442E-11 1.20105E-2 3.00161E-14 2.12900E-3
9.5 0.0100 31623 2.29729E-11 1.31891E-2 1.88394E-14 5.19388E-4
9.5 0.0120 100000 2.26612E-11 3.15003E-2 3.20314E-15 1.27795E-4
9.5 0.0120 316228 2.27202E-11 6.71443E-2 1.68848E-14 6.95323E-4
9.5 0.0120 1E6 2.42132E-11 1.78457E-1 8.84998E-15 7.30481E-4
9.8 0.0130 1000 2.30218E-11 7.20992E-2 2.64165E-14 1.23391E-3
9.8 0.0150 3162 2.29807E-11 1.01590E-2 1.42377E-13 5.24670E-3
9.8 0.0140 10000 2.26943E-11 1.27495E-2 4.86833E-14 1.41783E-3
9.8 0.0150 31623 2.26835E-11 1.25067E-2 1.32167E-14 5.01365E-4
9.8 0.0130 100000 2.23785E-11 3.05060E-2 4.27440E-15 9.38590E-5
9.8 0.0120 316228 2.24391E-11 6.50984E-2 1.95265E-14 8.51913E-4
9.8 0.0120 1E6 2.39572E-11 1.72578E-1 9.37657E-15 3.70670E-4
10.2 0.0140 1000 2.27704E-11 7.30402E-2 2.76035E-14 1.13211E-3
10.2 0.0150 3162 2.27929E-11 1.04931E-2 9.29492E-14 6.68787E-3
10.1 0.0140 10000 2.23663E-11 1.29341E-2 2.48476E-14 1.06692E-3
10.1 0.0150 31623 2.24236E-11 1.26647E-2 1.17037E-14 3.21661E-4
10.1 0.0130 100000 2.21315E-11 3.01752E-2 2.00302E-15 9.76791E-5
10.1 0.0130 316228 2.21744E-11 6.56429E-2 1.98458E-14 6.68404E-4
10.1 0.0130 1E6 2.36832E-11 1.72619E-1 1.10616E-14 4.89356E-4
10.5 0.0130 1000 2.25346E-11 7.42514E-2 2.82466E-14 1.21530E-3
10.5 0.0130 3162 2.21841E-11 7.26124E-3 1.11262E-13 6.52471E-3
10.5 0.0140 10000 2.22734E-11 7.85790E-3 1.91483E-14 1.79711E-3
10.5 0.0130 31623 2.21605E-11 1.27083E-2 1.40494E-14 5.14359E-4
10.5 0.0140 100000 2.18406E-11 3.00805E-2 3.58783E-15 1.40241E-4
10.5 0.0140 316228 2.19226E-11 6.34827E-2 1.66366E-14 5.66117E-4
10.5 0.0140 1E6 2.34256E-11 1.67962E-1 8.71174E-15 3.85500E-4
10.8 0.0150 1000 2.22722E-11 7.57894E-2 2.98703E-14 1.06652E-3
10.8 0.0140 3162 2.23497E-11 2.16743E-2 2.27546E-14 5.72293E-3
10.8 0.0130 10000 2.18534E-11 6.25481E-3 1.17534E-14 5.99932E-4
10.8 0.0150 31623 2.19124E-11 1.27557E-2 7.89715E-15 4.71462E-4
