time C,x[ST2826] F[ST2826] D[ST2826] I[2410] V[2410] 
1621511706616 1.65864e-10 667000 0.262624 -0.000104933 -0.0252094 
1621511708089 5.73022e-11 667000 0.0567683 -7.43468e-09 1.98115 
1621511709482 4.88613e-11 667000 0.0123551 1.22942e-08 4.03671 
1621511710877 3.81629e-11 667000 0.0138589 1.56107e-08 6.03263 
1621511712171 3.43591e-11 667000 0.00504243 1.98125e-08 8.08604 
1621511713547 3.07399e-11 667000 0.00251045 2.11951e-08 10.0873 
1621511714941 2.88709e-11 667000 0.000653368 2.41122e-08 12.1024 
1621511716235 2.8378e-11 667000 0.00347458 2.7343e-08 14.1394 
1621511717548 2.66777e-11 667000 0.00410467 2.9458e-08 16.1548 
1621511718942 2.33039e-11 667000 0.000862328 3.13691e-08 18.2111 
1621511720227 2.57809e-11 667000 0.00704159 3.43075e-08 20.2082 
1621511721548 2.42393e-11 667000 0.0070735 3.62565e-08 22.2081 
1621511722941 2.10027e-11 667000 0.00327441 3.69182e-08 24.2604 
1621511724234 2.04578e-11 667000 0.00410713 4.01246e-08 26.2611 
1621511725548 2.18629e-11 667000 0.00787311 4.1968e-08 28.3138 
1621511726942 1.93796e-11 667000 0.00402598 4.26578e-08 30.3124 
1621511728235 1.92073e-11 667000 0.00542367 4.54206e-08 32.3106 
1621511729549 2.02325e-11 667000 0.00878688 4.72334e-08 34.3641 
1621511730943 1.79241e-11 667000 0.00443756 4.73503e-08 36.3571 
1621511732238 1.9673e-11 667000 0.0101043 5.09235e-08 38.4122 
1621511733548 1.86545e-11 667000 0.00905297 5.25493e-08 40.4123 
1621511734933 1.67988e-11 667000 0.00466544 5.24849e-08 42.4275 
1621511736226 1.83824e-11 667000 0.0100126 5.54317e-08 44.4813 
1621511737548 1.80091e-11 667000 0.00927322 5.68223e-08 46.4805 
1621511738951 1.59294e-11 667000 0.00504811 5.69204e-08 48.5345 
1621511740245 1.79508e-11 667000 0.0106941 5.95844e-08 50.5337 
1621511741549 1.7243e-11 667000 0.00980977 6.06783e-08 52.5887 
1621511742943 1.51198e-11 667000 0.00505839 6.06004e-08 54.5855 
1621511744239 1.68802e-11 667000 0.0103255 6.36129e-08 56.5854 
1621511745551 1.64202e-11 667000 0.00991846 6.38398e-08 58.6374 
1621511746944 1.44419e-11 667000 0.00543296 6.35194e-08 60.6365 
1621511748239 1.61692e-11 667000 0.0105164 6.702e-08 62.6896 
1621511749549 1.5669e-11 667000 0.0103061 6.75361e-08 64.6885 
1621511750945 1.38778e-11 667000 0.00554542 6.67645e-08 66.6879 
1621511752241 1.57971e-11 667000 0.0113711 6.90871e-08 68.7423 
1621511753549 1.25818e-11 667000 0.00527786 6.38022e-08 70.7598 
1621511754944 1.24388e-11 667000 0.00436851 6.4605e-08 72.7923 
1621511756239 1.2267e-11 667000 0.00600987 6.29833e-08 74.8066 
1621511757550 1.2159e-11 667000 0.00553316 6.39716e-08 76.8025 
1621511758947 1.20381e-11 667000 0.00480526 6.44263e-08 78.8538 
1621511760242 1.19725e-11 667000 0.00679048 6.72643e-08 80.8489 
1621511761550 1.19098e-11 667000 0.00442595 6.80534e-08 82.8981 
1621511762944 1.18221e-11 667000 0.00490186 6.78585e-08 84.8942 
1621511764240 1.1758e-11 667000 0.00759733 6.67277e-08 86.8882 
1621511765557 1.17223e-11 667000 0.0064837 6.72943e-08 88.9394 
1621511766960 1.17078e-11 667000 0.00732886 6.76989e-08 90.9344 
1621511768356 1.16861e-11 667000 0.00667293 6.72624e-08 92.9839 
1621511769652 1.16757e-11 667000 0.00754742 6.97304e-08 94.9796 
1621511771056 1.16596e-11 667000 0.00797734 6.95166e-08 96.9931 
1621511772453 1.16283e-11 667000 0.00927415 6.86192e-08 99.0257 
1621511773748 1.1657e-11 667000 0.0108019 7.08492e-08 101.039 
1621511775050 1.16286e-11 667000 0.0114524 7.1652e-08 103.07 
1621511776437 1.15636e-11 667000 0.0148342 6.85934e-08 105.084 
1621511777732 1.15117e-11 667000 0.0178181 6.9938e-08 107.078 
1621511779049 1.14071e-11 667000 0.0220126 7.01125e-08 109.13 
1621511780443 1.12692e-11 667000 0.0205874 7.0874e-08 111.118 
1621511781737 1.11914e-11 667000 0.0154167 7.04359e-08 113.169 
1621511783051 1.11519e-11 667000 0.00808977 7.06917e-08 115.164 
1621511784454 1.11406e-11 667000 0.00544169 7.10171e-08 117.158 
1621511785756 1.11141e-11 667000 0.00334762 7.13272e-08 119.21 
1621511787050 1.10925e-11 667000 0.0026601 7.12694e-08 121.205 
1621511788444 1.10955e-11 667000 0.00252587 7.1668e-08 123.257 
1621511789739 1.1121e-11 667000 0.00187592 7.30638e-08 125.251 
1621511791048 1.11212e-11 667000 0.00273843 7.3763e-08 127.265 
1621511792442 1.10908e-11 667000 0.00151152 7.46095e-08 129.295 
1621511793737 1.10793e-11 667000 0.000655627 7.34388e-08 131.309 
1621511795049 1.10848e-11 667000 0.00237908 7.36484e-08 133.357 
1621511796443 1.10715e-11 667000 0.00213997 7.29222e-08 135.355 
1621511797737 1.10775e-11 667000 0.00184728 7.27535e-08 137.35 
1621511799050 1.10674e-11 667000 0.000143265 7.34111e-08 139.4 
1621511800443 1.10719e-11 667000 0.00120001 7.29008e-08 141.394 
1621511801738 1.10904e-11 667000 0.00244065 7.49712e-08 143.444 
1621511803049 1.10776e-11 667000 0.00190465 7.52495e-08 145.438 
1621511804443 1.10426e-11 667000 0.00148193 7.36263e-08 147.489 
1621511805738 1.10516e-11 667000 0.0018587 7.44869e-08 149.488 
1621511807050 1.10555e-11 667000 0.00364845 7.42463e-08 151.488 
1621511808444 1.10657e-11 667000 0.00190962 7.52552e-08 153.541 
1621511809738 1.10414e-11 667000 0.0010125 7.42594e-08 155.541 
1621511811049 1.10239e-11 667000 0.00176957 7.44908e-08 157.594 
1621511812444 1.10437e-11 667000 0.00255293 7.57676e-08 159.611 
1621511813738 1.10609e-11 667000 0.00108597 7.73435e-08 161.61 
1621511815048 1.10777e-11 667000 0.00148829 7.76914e-08 163.664 
1621511816443 1.1038e-11 667000 0.00194297 7.64946e-08 165.663 
1621511817738 1.10261e-11 667000 0.0018854 7.57392e-08 167.715 
1621511819051 1.10328e-11 667000 0.00498995 7.57883e-08 169.715 
1621511820445 1.10412e-11 667000 0.00119257 7.60376e-08 171.713 
1621511821740 1.10431e-11 667000 0.00215331 7.53361e-08 173.767 
1621511823049 1.10267e-11 667000 0.000670986 7.53601e-08 175.766 
1621511824435 1.10269e-11 667000 0.000450078 7.6613e-08 177.819 
1621511825723 1.10554e-11 667000 0.00245714 7.78814e-08 179.82 
1621511827050 1.10517e-11 667000 0.00237546 7.86706e-08 181.817 
1621511828452 1.10421e-11 667000 0.0015884 7.87788e-08 183.873 
1621511829748 1.10145e-11 667000 0.00305096 7.70186e-08 185.888 
1621511831049 1.10306e-11 667000 0.00232075 7.75036e-08 187.918 
1621511832442 1.10304e-11 667000 0.00285899 7.74074e-08 189.934 
1621511833737 1.10036e-11 667000 0.00153439 7.64639e-08 191.933 
1621511835048 1.10188e-11 667000 0.00214925 7.71677e-08 193.988 
1621511836444 1.10187e-11 667000 0.00134883 7.71935e-08 195.986 
1621511837738 1.1053e-11 667000 0.00144224 7.99324e-08 198.04 
1621511839050 1.10319e-11 667000 0.00235448 7.89277e-08 200.038 
